Round;Date;HomeTeam;AwayTeam;HG;AG;TotalGoals;Res
33;29-04-2024 0:00;Barcelona;Valencia;4;2;6;Home
33;28-04-2024 0:00;Betis;Sevilla;1;1;2;Tie
33;28-04-2024 0:00;Villarreal;Rayo Vallecano;3;0;3;Home
33;28-04-2024 0:00;Granada CF;Osasuna;3;0;3;Home
33;28-04-2024 0:00;Cadiz CF;Mallorca;1;1;2;Tie
33;27-04-2024 0:00;Atl. Madrid;Ath Bilbao;3;1;4;Home
33;27-04-2024 0:00;Alaves;Celta Vigo;3;0;3;Home
33;27-04-2024 0:00;Almeria;Getafe;1;3;4;Away
33;27-04-2024 0:00;Las Palmas;Girona;0;2;2;Away
33;26-04-2024 0:00;Real Sociedad;Real Madrid;0;1;1;Away
32;22-04-2024 0:00;Sevilla;Mallorca;2;1;3;Home
32;21-04-2024 0:00;Real Madrid;Barcelona;3;2;5;Home
32;21-04-2024 0:00;Alaves;Atl. Madrid;2;0;2;Home
32;21-04-2024 0:00;Almeria;Villarreal;1;2;3;Away
32;21-04-2024 0:00;Getafe;Real Sociedad;1;1;2;Tie
32;20-04-2024 0:00;Girona;Cadiz CF;4;1;5;Home
32;20-04-2024 0:00;Valencia;Betis;1;2;3;Away
32;20-04-2024 0:00;Rayo Vallecano;Osasuna;2;1;3;Home
32;20-04-2024 0:00;Celta Vigo;Las Palmas;4;1;5;Home
32;19-04-2024 0:00;Ath Bilbao;Granada CF;1;1;2;Tie
31;15-04-2024 0:00;Osasuna;Valencia;0;1;1;Away
31;14-04-2024 0:00;Real Sociedad;Almeria;2;2;4;Tie
31;14-04-2024 0:00;Ath Bilbao;Villarreal;1;1;2;Tie
31;14-04-2024 0:00;Granada CF;Alaves;2;0;2;Home
31;14-04-2024 0:00;Las Palmas;Sevilla;0;2;2;Away
31;13-04-2024 0:00;Cadiz CF;Barcelona;0;1;1;Away
31;13-04-2024 0:00;Mallorca;Real Madrid;0;1;1;Away
31;13-04-2024 0:00;Rayo Vallecano;Getafe;0;0;0;Tie
31;13-04-2024 0:00;Atl. Madrid;Girona;3;1;4;Home
31;12-04-2024 0:00;Betis;Celta Vigo;2;1;3;Home
26;04-04-2024 0:00;Granada CF;Valencia;0;1;1;Away
