Round,Date,EquipoLocal,EquipoVisitante,GolesLocal,GolesVisitante,TotalGoals,Resultado,TotalGoles
33,29-04-2024 0:00,Barcelona,Valencia,4,2,6,Home,6
33,28-04-2024 0:00,Betis,Sevilla,1,1,2,Tie,2
33,28-04-2024 0:00,Villarreal,Rayo Vallecano,3,0,3,Home,3
33,28-04-2024 0:00,Granada CF,Osasuna,3,0,3,Home,3
33,28-04-2024 0:00,Cadiz CF,Mallorca,1,1,2,Tie,2
33,27-04-2024 0:00,Atl. Madrid,Ath Bilbao,3,1,4,Home,4
33,27-04-2024 0:00,Alaves,Celta Vigo,3,0,3,Home,3
33,27-04-2024 0:00,Almeria,Getafe,1,3,4,Away,4
33,27-04-2024 0:00,Las Palmas,Girona,0,2,2,Away,2
33,26-04-2024 0:00,Real Sociedad,Real Madrid,0,1,1,Away,1
32,22-04-2024 0:00,Sevilla,Mallorca,2,1,3,Home,3
32,21-04-2024 0:00,Real Madrid,Barcelona,3,2,5,Home,5
32,21-04-2024 0:00,Alaves,Atl. Madrid,2,0,2,Home,2
32,21-04-2024 0:00,Almeria,Villarreal,1,2,3,Away,3
32,21-04-2024 0:00,Getafe,Real Sociedad,1,1,2,Tie,2
32,20-04-2024 0:00,Girona,Cadiz CF,4,1,5,Home,5
32,20-04-2024 0:00,Valencia,Betis,1,2,3,Away,3
32,20-04-2024 0:00,Rayo Vallecano,Osasuna,2,1,3,Home,3
32,20-04-2024 0:00,Celta Vigo,Las Palmas,4,1,5,Home,5
32,19-04-2024 0:00,Ath Bilbao,Granada CF,1,1,2,Tie,2
31,15-04-2024 0:00,Osasuna,Valencia,0,1,1,Away,1
31,14-04-2024 0:00,Real Sociedad,Almeria,2,2,4,Tie,4
31,14-04-2024 0:00,Ath Bilbao,Villarreal,1,1,2,Tie,2
31,14-04-2024 0:00,Granada CF,Alaves,2,0,2,Home,2
31,14-04-2024 0:00,Las Palmas,Sevilla,0,2,2,Away,2
31,13-04-2024 0:00,Cadiz CF,Barcelona,0,1,1,Away,1
31,13-04-2024 0:00,Mallorca,Real Madrid,0,1,1,Away,1
31,13-04-2024 0:00,Rayo Vallecano,Getafe,0,0,0,Tie,0
31,13-04-2024 0:00,Atl. Madrid,Girona,3,1,4,Home,4
31,12-04-2024 0:00,Betis,Celta Vigo,2,1,3,Home,3
26,04-04-2024 0:00,Granada CF,Valencia,0,1,1,Away,1
30,01-04-2024 0:00,Villarreal,Atl. Madrid,1,2,3,Away,3
30,31-03-2024 0:00,Real Madrid,Ath Bilbao,2,0,2,Home,2
30,31-03-2024 0:00,Alaves,Real Sociedad,0,1,1,Away,1
30,31-03-2024 0:00,Girona,Betis,3,2,5,Home,5
30,31-03-2024 0:00,Celta Vigo,Rayo Vallecano,0,0,0,Tie,0
30,30-03-2024 0:00,Barcelona,Las Palmas,1,0,1,Home,1
30,30-03-2024 0:00,Valencia,Mallorca,0,0,0,Tie,0
30,30-03-2024 0:00,Almeria,Osasuna,0,3,3,Away,3
30,30-03-2024 0:00,Getafe,Sevilla,0,1,1,Away,1
30,29-03-2024 0:00,Cadiz CF,Granada CF,1,0,1,Home,1
29,17-03-2024 0:00,Atl. Madrid,Barcelona,0,3,3,Away,3
29,17-03-2024 0:00,Rayo Vallecano,Betis,2,0,2,Home,2
29,17-03-2024 0:00,Las Palmas,Almeria,0,1,1,Away,1
29,17-03-2024 0:00,Villarreal,Valencia,1,0,1,Home,1
29,17-03-2024 0:00,Sevilla,Celta Vigo,1,2,3,Away,3
29,16-03-2024 0:00,Ath Bilbao,Alaves,2,0,2,Home,2
29,16-03-2024 0:00,Getafe,Girona,1,0,1,Home,1
29,16-03-2024 0:00,Osasuna,Real Madrid,2,4,6,Away,6
29,16-03-2024 0:00,Mallorca,Granada CF,1,0,1,Home,1
29,15-03-2024 0:00,Real Sociedad,Cadiz CF,2,0,2,Home,2
28,11-03-2024 0:00,Almeria,Sevilla,2,2,4,Tie,4
28,10-03-2024 0:00,Betis,Villarreal,2,3,5,Away,5
28,10-03-2024 0:00,Real Madrid,Celta Vigo,4,0,4,Home,4
28,10-03-2024 0:00,Las Palmas,Ath Bilbao,0,2,2,Away,2
28,10-03-2024 0:00,Alaves,Rayo Vallecano,1,0,1,Home,1
28,09-03-2024 0:00,Girona,Osasuna,2,0,2,Home,2
28,09-03-2024 0:00,Granada CF,Real Sociedad,2,3,5,Away,5
28,09-03-2024 0:00,Cadiz CF,Atl. Madrid,2,0,2,Home,2
28,09-03-2024 0:00,Valencia,Getafe,1,0,1,Home,1
28,08-03-2024 0:00,Barcelona,Mallorca,1,0,1,Home,1
27,04-03-2024 0:00,Osasuna,Alaves,1,0,1,Home,1
27,03-03-2024 0:00,Ath Bilbao,Barcelona,0,0,0,Tie,0
27,03-03-2024 0:00,Mallorca,Girona,1,0,1,Home,1
27,03-03-2024 0:00,Atl. Madrid,Betis,2,1,3,Home,3
27,03-03-2024 0:00,Villarreal,Granada CF,5,1,6,Home,6
27,02-03-2024 0:00,Valencia,Real Madrid,2,2,4,Tie,4
27,02-03-2024 0:00,Getafe,Las Palmas,3,3,6,Tie,6
27,02-03-2024 0:00,Rayo Vallecano,Cadiz CF,1,1,2,Tie,2
27,02-03-2024 0:00,Sevilla,Real Sociedad,3,2,5,Home,5
27,01-03-2024 0:00,Celta Vigo,Almeria,1,0,1,Home,1
26,26-02-2024 0:00,Girona,Rayo Vallecano,3,0,3,Home,3
26,25-02-2024 0:00,Real Madrid,Sevilla,1,0,1,Home,1
26,25-02-2024 0:00,Las Palmas,Osasuna,1,1,2,Tie,2
26,25-02-2024 0:00,Betis,Ath Bilbao,3,1,4,Home,4
26,25-02-2024 0:00,Cadiz CF,Celta Vigo,2,2,4,Tie,4
26,24-02-2024 0:00,Almeria,Atl. Madrid,2,2,4,Tie,4
26,24-02-2024 0:00,Alaves,Mallorca,1,1,2,Tie,2
26,24-02-2024 0:00,Barcelona,Getafe,4,0,4,Home,4
26,23-02-2024 0:00,Real Sociedad,Villarreal,1,3,4,Away,4
25,19-02-2024 0:00,Ath Bilbao,Girona,3,2,5,Home,5
25,18-02-2024 0:00,Betis,Alaves,0,0,0,Tie,0
25,18-02-2024 0:00,Mallorca,Real Sociedad,1,2,3,Away,3
25,18-02-2024 0:00,Granada CF,Almeria,1,1,2,Tie,2
25,18-02-2024 0:00,Rayo Vallecano,Real Madrid,1,1,2,Tie,2
25,17-02-2024 0:00,Valencia,Sevilla,0,0,0,Tie,0
25,17-02-2024 0:00,Celta Vigo,Barcelona,1,2,3,Away,3
25,17-02-2024 0:00,Osasuna,Cadiz CF,2,0,2,Home,2
25,17-02-2024 0:00,Atl. Madrid,Las Palmas,5,0,5,Home,5
25,16-02-2024 0:00,Villarreal,Getafe,1,1,2,Tie,2
24,12-02-2024 0:00,Almeria,Ath Bilbao,0,0,0,Tie,0
24,11-02-2024 0:00,Barcelona,Granada CF,3,3,6,Tie,6
24,11-02-2024 0:00,Sevilla,Atl. Madrid,1,0,1,Home,1
24,11-02-2024 0:00,Mallorca,Rayo Vallecano,2,1,3,Home,3
24,11-02-2024 0:00,Getafe,Celta Vigo,3,2,5,Home,5
24,10-02-2024 0:00,Las Palmas,Valencia,2,0,2,Home,2
24,10-02-2024 0:00,Real Madrid,Girona,4,0,4,Home,4
24,10-02-2024 0:00,Real Sociedad,Osasuna,0,1,1,Away,1
24,10-02-2024 0:00,Alaves,Villarreal,1,1,2,Tie,2
24,09-02-2024 0:00,Cadiz CF,Betis,0,2,2,Away,2
23,05-02-2024 0:00,Rayo Vallecano,Sevilla,1,2,3,Away,3
23,04-02-2024 0:00,Real Madrid,Atl. Madrid,1,1,2,Tie,2
23,04-02-2024 0:00,Betis,Getafe,1,1,2,Tie,2
23,04-02-2024 0:00,Osasuna,Celta Vigo,0,3,3,Away,3
23,04-02-2024 0:00,Villarreal,Cadiz CF,0,0,0,Tie,0
23,03-02-2024 0:00,Girona,Real Sociedad,0,0,0,Tie,0
23,03-02-2024 0:00,Alaves,Barcelona,1,3,4,Away,4
23,03-02-2024 0:00,Granada CF,Las Palmas,1,1,2,Tie,2
23,03-02-2024 0:00,Valencia,Almeria,2,1,3,Home,3
23,02-02-2024 0:00,Ath Bilbao,Mallorca,4,0,4,Home,4
20,01-02-2024 0:00,Getafe,Real Madrid,0,2,2,Away,2
20,31-01-2024 0:00,Atl. Madrid,Rayo Vallecano,2,1,3,Home,3
20,31-01-2024 0:00,Barcelona,Osasuna,1,0,1,Home,1
22,29-01-2024 0:00,Getafe,Granada CF,2,0,2,Home,2
22,28-01-2024 0:00,Atl. Madrid,Valencia,2,0,2,Home,2
22,28-01-2024 0:00,Sevilla,Osasuna,1,1,2,Tie,2
22,28-01-2024 0:00,Cadiz CF,Ath Bilbao,0,0,0,Tie,0
22,28-01-2024 0:00,Celta Vigo,Girona,0,1,1,Away,1
22,27-01-2024 0:00,Mallorca,Betis,0,1,1,Away,1
22,27-01-2024 0:00,Barcelona,Villarreal,3,5,8,Away,8
22,27-01-2024 0:00,Las Palmas,Real Madrid,1,2,3,Away,3
22,27-01-2024 0:00,Real Sociedad,Rayo Vallecano,0,0,0,Tie,0
22,26-01-2024 0:00,Almeria,Alaves,0,3,3,Away,3
21,22-01-2024 0:00,Granada CF,Atl. Madrid,0,1,1,Away,1
21,21-01-2024 0:00,Girona,Sevilla,5,1,6,Home,6
21,21-01-2024 0:00,Betis,Barcelona,2,4,6,Away,6
21,21-01-2024 0:00,Real Madrid,Almeria,3,2,5,Home,5
21,21-01-2024 0:00,Osasuna,Getafe,3,2,5,Home,5
21,20-01-2024 0:00,Celta Vigo,Real Sociedad,0,1,1,Away,1
21,20-01-2024 0:00,Valencia,Ath Bilbao,1,0,1,Home,1
21,20-01-2024 0:00,Villarreal,Mallorca,1,1,2,Tie,2
21,20-01-2024 0:00,Rayo Vallecano,Las Palmas,0,2,2,Away,2
21,19-01-2024 0:00,Alaves,Cadiz CF,1,0,1,Home,1
20,14-01-2024 0:00,Cadiz CF,Valencia,1,4,5,Away,5
20,14-01-2024 0:00,Almeria,Girona,0,0,0,Tie,0
20,13-01-2024 0:00,Betis,Granada CF,1,0,1,Home,1
20,13-01-2024 0:00,Ath Bilbao,Real Sociedad,2,1,3,Home,3
20,13-01-2024 0:00,Mallorca,Celta Vigo,1,1,2,Tie,2
20,13-01-2024 0:00,Las Palmas,Villarreal,3,0,3,Home,3
20,12-01-2024 0:00,Sevilla,Alaves,2,3,5,Away,5
19,04-01-2024 0:00,Las Palmas,Barcelona,1,2,3,Away,3
19,04-01-2024 0:00,Sevilla,Ath Bilbao,0,2,2,Away,2
19,04-01-2024 0:00,Osasuna,Almeria,1,0,1,Home,1
19,03-01-2024 0:00,Girona,Atl. Madrid,4,3,7,Home,7
19,03-01-2024 0:00,Celta Vigo,Betis,2,1,3,Home,3
19,03-01-2024 0:00,Real Madrid,Mallorca,1,0,1,Home,1
19,03-01-2024 0:00,Granada CF,Cadiz CF,2,0,2,Home,2
19,02-01-2024 0:00,Valencia,Villarreal,3,1,4,Home,4
19,02-01-2024 0:00,Real Sociedad,Alaves,1,1,2,Tie,2
19,02-01-2024 0:00,Getafe,Rayo Vallecano,0,2,2,Away,2
4,23-12-2023 0:00,Atl. Madrid,Sevilla,1,0,1,Home,1
18,21-12-2023 0:00,Alaves,Real Madrid,0,1,1,Away,1
18,21-12-2023 0:00,Mallorca,Osasuna,3,2,5,Home,5
18,21-12-2023 0:00,Betis,Girona,1,1,2,Tie,2
18,21-12-2023 0:00,Cadiz CF,Real Sociedad,0,0,0,Tie,0
18,20-12-2023 0:00,Ath Bilbao,Las Palmas,1,0,1,Home,1
18,20-12-2023 0:00,Villarreal,Celta Vigo,3,2,5,Home,5
18,20-12-2023 0:00,Barcelona,Almeria,3,2,5,Home,5
18,19-12-2023 0:00,Atl. Madrid,Getafe,3,3,6,Tie,6
18,19-12-2023 0:00,Granada CF,Sevilla,0,3,3,Away,3
18,19-12-2023 0:00,Rayo Vallecano,Valencia,0,1,1,Away,1
17,18-12-2023 0:00,Girona,Alaves,3,0,3,Home,3
17,17-12-2023 0:00,Real Madrid,Villarreal,4,1,5,Home,5
17,17-12-2023 0:00,Las Palmas,Cadiz CF,1,1,2,Tie,2
17,17-12-2023 0:00,Real Sociedad,Betis,0,0,0,Tie,0
17,17-12-2023 0:00,Almeria,Mallorca,0,0,0,Tie,0
17,16-12-2023 0:00,Valencia,Barcelona,1,1,2,Tie,2
17,16-12-2023 0:00,Sevilla,Getafe,0,3,3,Away,3
17,16-12-2023 0:00,Ath Bilbao,Atl. Madrid,2,0,2,Home,2
17,16-12-2023 0:00,Celta Vigo,Granada CF,1,0,1,Home,1
17,15-12-2023 0:00,Osasuna,Rayo Vallecano,1,0,1,Home,1
16,11-12-2023 0:00,Granada CF,Ath Bilbao,1,1,2,Tie,2
16,11-12-2023 0:00,Rayo Vallecano,Celta Vigo,0,0,0,Tie,0
16,10-12-2023 0:00,Barcelona,Girona,2,4,6,Away,6
16,10-12-2023 0:00,Cadiz CF,Osasuna,1,1,2,Tie,2
16,10-12-2023 0:00,Atl. Madrid,Almeria,2,1,3,Home,3
16,09-12-2023 0:00,Mallorca,Sevilla,1,0,1,Home,1
16,09-12-2023 0:00,Villarreal,Real Sociedad,0,3,3,Away,3
16,09-12-2023 0:00,Betis,Real Madrid,1,1,2,Tie,2
16,09-12-2023 0:00,Alaves,Las Palmas,0,1,1,Away,1
16,08-12-2023 0:00,Getafe,Valencia,1,0,1,Home,1
15,04-12-2023 0:00,Celta Vigo,Cadiz CF,1,1,2,Tie,2
15,03-12-2023 0:00,Barcelona,Atl. Madrid,1,0,1,Home,1
15,03-12-2023 0:00,Sevilla,Villarreal,1,1,2,Tie,2
15,03-12-2023 0:00,Almeria,Betis,0,0,0,Tie,0
15,03-12-2023 0:00,Mallorca,Alaves,0,0,0,Tie,0
15,02-12-2023 0:00,Osasuna,Real Sociedad,1,1,2,Tie,2
15,02-12-2023 0:00,Real Madrid,Granada CF,2,0,2,Home,2
15,02-12-2023 0:00,Ath Bilbao,Rayo Vallecano,4,0,4,Home,4
15,02-12-2023 0:00,Girona,Valencia,2,1,3,Home,3
15,01-12-2023 0:00,Las Palmas,Getafe,2,0,2,Home,2
13,29-11-2023 0:00,Mallorca,Cadiz CF,1,1,2,Tie,2
14,27-11-2023 0:00,Girona,Ath Bilbao,1,1,2,Tie,2
14,26-11-2023 0:00,Betis,Las Palmas,1,0,1,Home,1
14,26-11-2023 0:00,Cadiz CF,Real Madrid,0,3,3,Away,3
14,26-11-2023 0:00,Real Sociedad,Sevilla,2,1,3,Home,3
14,26-11-2023 0:00,Villarreal,Osasuna,3,1,4,Home,4
14,25-11-2023 0:00,Atl. Madrid,Mallorca,1,0,1,Home,1
14,25-11-2023 0:00,Getafe,Almeria,2,1,3,Home,3
